Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,A6,FALSE,A1,A,UNKNOWN,SYBR,None,17.823,17.829,0.008,,,,,,,,TRUE,0.231,TRUE,3,13,Amp,,0.992,N,N,N,87.811,,,
7,A7,FALSE,A2,Acerv,UNKNOWN,SYBR,None,17.138,17.660,0.739,,,,,,,,TRUE,0.108,TRUE,3,12,Amp,,0.972,N,N,Y,75.452,,,
8,A8,FALSE,A2,A,UNKNOWN,SYBR,None,18.002,17.931,0.101,,,,,,,,TRUE,0.231,TRUE,3,13,Amp,,0.966,N,N,N,87.815,,,
9,A9,FALSE,A2,Acerv,UNKNOWN,SYBR,None,18.183,17.660,0.739,,,,,,,,TRUE,0.108,TRUE,3,14,Amp,,0.905,N,N,Y,75.621,,,
10,A10,FALSE,A2,A,UNKNOWN,SYBR,None,17.859,17.931,0.101,,,,,,,,TRUE,0.231,TRUE,3,14,Amp,,0.960,N,N,N,88.001,,,
11,A11,FALSE,+,Acerv,UNKNOWN,SYBR,None,18.880,18.225,0.925,,,,,,,,TRUE,0.108,TRUE,3,15,Amp,,0.978,N,N,Y,75.321,,,
12,A12,FALSE,+,A,UNKNOWN,SYBR,None,13.424,13.270,0.217,,,,,,,,TRUE,0.231,TRUE,3,9,Amp,,0.968,N,N,N,87.842,,,
13,B1,FALSE,A3,Acerv,UNKNOWN,SYBR,None,17.375,17.312,0.089,,,,,,,,TRUE,0.108,TRUE,3,13,Amp,,0.971,N,N,N,75.467,,,
14,B2,FALSE,A3,A,UNKNOWN,SYBR,None,17.896,17.847,0.068,,,,,,,,TRUE,0.231,TRUE,3,14,Amp,,0.918,N,N,N,87.694,,,
15,B3,FALSE,A3,Acerv,UNKNOWN,SYBR,None,17.250,17.312,0.089,,,,,,,,TRUE,0.108,TRUE,3,13,Amp,,0.989,N,N,N,75.600,,,
16,B4,FALSE,A3,A,UNKNOWN,SYBR,None,17.799,17.847,0.068,,,,,,,,TRUE,0.231,TRUE,3,12,Amp,,0.978,N,N,N,87.963,,,
17,B5,FALSE,A4,Acerv,UNKNOWN,SYBR,None,16.872,16.836,0.052,,,,,,,,TRUE,0.108,TRUE,3,13,Amp,,0.906,N,N,N,75.303,,,
18,B6,FALSE,A4,A,UNKNOWN,SYBR,None,17.739,17.559,0.254,,,,,,,,TRUE,0.231,TRUE,3,13,Amp,,0.840,N,N,N,87.663,,,
19,B7,FALSE,A4,Acerv,UNKNOWN,SYBR,None,16.799,16.836,0.052,,,,,,,,TRUE,0.108,TRUE,3,13,Amp,,0.919,N,N,N,75.305,,,
20,B8,FALSE,A4,A,UNKNOWN,SYBR,None,17.380,17.559,0.254,,,,,,,,TRUE,0.231,TRUE,3,13,Amp,,0.886,N,N,N,87.668,,,
21,B9,FALSE,A5,Acerv,UNKNOWN,SYBR,None,16.895,17.001,0.151,,,,,,,,TRUE,0.108,TRUE,3,12,Amp,,0.988,N,N,N,75.473,,,
22,B10,FALSE,A5,A,UNKNOWN,SYBR,None,17.390,17.431,0.059,,,,,,,,TRUE,0.231,TRUE,3,12,Amp,,0.894,N,N,N,88.001,,,
23,B11,FALSE,A5,Acerv,UNKNOWN,SYBR,None,17.108,17.001,0.151,,,,,,,,TRUE,0.108,TRUE,3,13,Amp,,0.950,N,N,N,75.468,,,
24,B12,FALSE,A5,A,UNKNOWN,SYBR,None,17.473,17.431,0.059,,,,,,,,TRUE,0.231,TRUE,3,12,Amp,,0.986,N,N,N,87.842,,,
25,C1,FALSE,A6,Acerv,UNKNOWN,SYBR,None,17.185,16.915,0.381,,,,,,,,TRUE,0.108,TRUE,3,13,Amp,,0.941,N,N,N,75.320,,,
26,C2,FALSE,A6,A,UNKNOWN,SYBR,None,18.132,18.069,0.089,,,,,,,,TRUE,0.231,TRUE,3,13,Amp,,0.973,N,N,N,87.694,,,
27,C3,FALSE,A6,Acerv,UNKNOWN,SYBR,None,16.646,16.915,0.381,,,,,,,,TRUE,0.108,TRUE,3,13,Amp,,0.983,N,N,N,75.453,,,
28,C4,FALSE,A6,A,UNKNOWN,SYBR,None,18.006,18.069,0.089,,,,,,,,TRUE,0.231,TRUE,3,12,Amp,,0.959,N,N,N,87.816,,,
29,C5,FALSE,A7,Acerv,UNKNOWN,SYBR,None,16.805,16.871,0.094,,,,,,,,TRUE,0.108,TRUE,3,13,Amp,,0.982,N,N,N,75.303,,,
30,C6,FALSE,A7,A,UNKNOWN,SYBR,None,17.657,17.668,0.015,,,,,,,,TRUE,0.231,TRUE,3,12,Amp,,0.933,N,N,N,87.516,,,
31,C7,FALSE,A7,Acerv,UNKNOWN,SYBR,None,16.938,16.871,0.094,,,,,,,,TRUE,0.108,TRUE,3,13,Amp,,0.947,N,N,N,75.305,,,
32,C8,FALSE,A7,A,UNKNOWN,SYBR,None,17.678,17.668,0.015,,,,,,,,TRUE,0.231,TRUE,3,13,Amp,,0.921,N,N,N,87.668,,,
33,C9,FALSE,A8,Acerv,UNKNOWN,SYBR,None,17.308,17.147,0.229,,,,,,,,TRUE,0.108,TRUE,3,13,Amp,,0.850,N,N,N,75.473,,,
34,C10,FALSE,A8,A,UNKNOWN,SYBR,None,17.869,17.870,0.002,,,,,,,,TRUE,0.231,TRUE,3,13,Amp,,0.964,N,N,N,87.853,,,
35,C11,FALSE,A8,Acerv,UNKNOWN,SYBR,None,16.985,17.147,0.229,,,,,,,,TRUE,0.108,TRUE,3,12,Amp,,0.971,N,N,N,75.321,,,
36,C12,FALSE,A8,A,UNKNOWN,SYBR,None,17.871,17.870,0.002,,,,,,,,TRUE,0.231,TRUE,3,12,Amp,,0.973,N,N,N,87.695,,,
37,D1,FALSE,A9,Acerv,UNKNOWN,SYBR,None,16.913,16.817,0.136,,,,,,,,TRUE,0.108,TRUE,3,12,Amp,,0.782,Y,N,N,75.172,,,
38,D2,FALSE,A9,A,UNKNOWN,SYBR,None,17.274,17.730,0.644,,,,,,,,TRUE,0.231,TRUE,3,10,Amp,,0.971,N,N,Y,87.546,,,
39,D3,FALSE,A9,Acerv,UNKNOWN,SYBR,None,16.721,16.817,0.136,,,,,,,,TRUE,0.108,TRUE,3,12,Amp,,0.791,Y,N,N,75.453,,,
40,D4,FALSE,A9,A,UNKNOWN,SYBR,None,18.185,17.730,0.644,,,,,,,,TRUE,0.231,TRUE,3,13,Amp,,0.834,N,N,Y,87.669,,,
41,D5,FALSE,A10,Acerv,UNKNOWN,SYBR,None,16.877,16.846,0.044,,,,,,,,TRUE,0.108,TRUE,3,12,Amp,,0.797,Y,N,N,75.303,,,
42,D6,FALSE,A10,A,UNKNOWN,SYBR,None,18.382,18.372,0.013,,,,,,,,TRUE,0.231,TRUE,3,14,Amp,,0.842,N,N,N,87.516,,,
43,D7,FALSE,A10,Acerv,UNKNOWN,SYBR,None,16.815,16.846,0.044,,,,,,,,TRUE,0.108,TRUE,3,12,Amp,,0.784,Y,N,N,75.305,,,
44,D8,FALSE,A10,A,UNKNOWN,SYBR,None,18.363,18.372,0.013,,,,,,,,TRUE,0.231,TRUE,3,14,Amp,,0.826,N,N,N,87.668,,,
45,D9,FALSE,A11,Acerv,UNKNOWN,SYBR,None,17.370,17.291,0.112,,,,,,,,TRUE,0.108,TRUE,3,13,Amp,,0.735,Y,N,N,75.473,,,
46,D10,FALSE,A11,A,UNKNOWN,SYBR,None,19.042,18.922,0.171,,,,,,,,TRUE,0.231,TRUE,3,14,Amp,,0.764,Y,N,N,87.853,,,
47,D11,FALSE,A11,Acerv,UNKNOWN,SYBR,None,17.212,17.291,0.112,,,,,,,,TRUE,0.108,TRUE,3,14,Amp,,0.756,Y,N,N,75.321,,,
48,D12,FALSE,A11,A,UNKNOWN,SYBR,None,18.801,18.922,0.171,,,,,,,,TRUE,0.231,TRUE,3,14,Amp,,0.861,N,N,N,87.695,,,
